year,flu week,MS rate,MS pop,MS count,MS weighted rate,MI rate,MI count,MI pop,MI weighted rate,SA rate,SA count,SA pop,SA weighted rate,LA rate,LA count,LA pop,LA weighted rate,FL rate,FL count,FL pop,FL weighted rate,PW rate,PW count,PW pop,PW weighted rate,RA rate,RA count,RA pop,RA weighted rate
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,109432.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
1.0,2.0,0.00017362400000000002,109432.0,19.0,6.94496e-05,0.0,0.0,4223.0,0.0,0.0,0.0,11394.0,0.0,0.000347391,10.0,28786.0,0.000347391,0.0,0.0,90853.0,0.0,0.0,0.0,7012.0,0.0,2.4806e-05,1.0,40313.0,2.4806e-05
1.0,3.0,0.001060019,109432.0,116.0,0.00046567736,0.0,0.0,4223.0,0.0,0.0,0.0,11394.0,0.0,0.00045160800000000004,13.0,28786.0,0.00038907780000000004,4.4027e-05,4.0,90853.0,1.76108e-05,0.0,0.0,7012.0,0.0,0.0,0.0,40313.0,1.48836e-05
1.0,4.0,0.00020103799999999998,109432.0,22.0,0.00035982161599999995,0.0,0.0,4223.0,0.0,0.0,0.0,11394.0,0.0,0.000312652,9.0,28786.0,0.00035850748,8.8054e-05,8.0,90853.0,4.578808e-05,0.00014261299999999998,1.0,7012.0,5.7045199999999994e-05,2.4806e-05,1.0,40313.0,1.885256e-05
1.0,5.0,0.000118795,109432.0,13.0,0.00026341096959999995,0.0,0.0,4223.0,0.0,8.7765e-05,1.0,11394.0,3.5106e-05,0.00027791299999999997,8.0,28786.0,0.000326269688,0.000121075,11.0,90853.0,7.5902848e-05,0.0,0.0,7012.0,3.422712e-05,0.000198447,8.0,40313.0,9.069033600000001e-05
1.0,6.0,0.0,109432.0,0.0,0.00015804658175999997,0.0,0.0,4223.0,0.0,0.0,0.0,11394.0,2.10636e-05,0.00076426,22.0,28786.0,0.0005014658128,0.000484299,44.0,90853.0,0.0002392613088,0.0,0.0,7012.0,2.0536272e-05,0.000396894,16.0,40313.0,0.00021317180160000004
1.0,7.0,0.0,109432.0,0.0,9.482794905599997e-05,0.0,0.0,4223.0,0.0,0.001053186,12.0,11394.0,0.00043391256000000004,0.0016674770000000001,48.0,28786.0,0.0009678702876800001,0.00089155,81.0,90853.0,0.00050017678528,0.0,0.0,7012.0,1.2321763199999998e-05,0.0,0.0,40313.0,0.00012790308096000003
1.0,8.0,0.000182762,109432.0,20.0,0.00013000156943359997,0.000236798,1.0,4223.0,9.471920000000001e-05,0.003159558,36.0,11394.0,0.001524170736,0.00194539,56.0,28786.0,0.001358878172608,0.0014088689999999999,128.0,90853.0,0.0008636536711679999,0.0,0.0,7012.0,7.3930579199999985e-06,0.001041848,42.0,40313.0,0.000493481048576
1.0,9.0,4.569e-05,109432.0,5.0,9.627694166015997e-05,0.0,0.0,4223.0,5.683152000000001e-05,0.001579779,18.0,11394.0,0.0015464140415999998,0.001736955,50.0,28786.0,0.0015101089035648,0.0020142429999999998,183.0,90853.0,0.0013238894027007998,0.0,0.0,7012.0,4.435834751999999e-06,0.0,0.0,40313.0,0.0002960886291456
1.0,10.0,0.0,109432.0,0.0,5.7766164996095985e-05,0.0,0.0,4223.0,3.4098912000000006e-05,0.001579779,18.0,11394.0,0.0015597600249599997,0.000972695,28.0,28786.0,0.00129514334213888,0.001243767,113.0,90853.0,0.00129184044162048,0.0,0.0,7012.0,2.6615008511999994e-06,0.0,0.0,40313.0,0.00017765317748736
1.0,11.0,0.0,109432.0,0.0,3.465969899765759e-05,0.0,0.0,4223.0,2.0459347200000004e-05,0.000526593,6.0,11394.0,0.0011464932149759998,0.000416869,12.0,28786.0,0.0009438336052833281,0.000737455,67.0,90853.0,0.001070086264972288,0.0,0.0,7012.0,1.5969005107199997e-06,0.0,0.0,40313.0,0.00010659190649241598
1.0,12.0,0.0,109432.0,0.0,2.0795819398594552e-05,0.0,0.0,4223.0,1.2275608320000003e-05,0.001053186,12.0,11394.0,0.0011091703289856,0.000347391,10.0,28786.0,0.0007052565631699968,0.000176109,16.0,90853.0,0.0007124953589833728,0.0,0.0,7012.0,9.581403064319998e-07,0.0,0.0,40313.0,6.395514389544959e-05
1.0,13.0,0.0,109432.0,0.0,1.2477491639156731e-05,0.0,0.0,4223.0,7.3653649920000016e-06,0.0006143580000000001,7.0,11394.0,0.00091124539739136,0.000347391,10.0,28786.0,0.000562110337901998,8.8054e-05,8.0,90853.0,0.00046271881539002366,0.0,0.0,7012.0,5.748841838591998e-07,0.0,0.0,40313.0,3.837308633726975e-05
1.0,14.0,0.0,109432.0,0.0,7.486494983494038e-06,0.0,0.0,4223.0,4.419218995200001e-06,0.0006143580000000001,7.0,11394.0,0.0007924904384348161,0.00010421700000000001,3.0,28786.0,0.0003789530027411988,2.2014e-05,2.0,90853.0,0.0002864368892340142,0.0,0.0,7012.0,3.449305103155199e-07,0.0,0.0,40313.0,2.302385180236185e-05
1.0,15.0,0.0,109432.0,0.0,4.4918969900964224e-06,0.0,0.0,4223.0,2.6515313971200007e-06,0.000263296,3.0,11394.0,0.0005808126630608896,0.000312652,9.0,28786.0,0.00035243260164471925,7.7048e-05,7.0,90853.0,0.00020268133354040853,0.0,0.0,7012.0,2.0695830618931193e-07,0.0,0.0,40313.0,1.381431108141711e-05
1.0,16.0,0.0,109432.0,0.0,2.6951381940578533e-06,0.0,0.0,4223.0,1.5909188382720003e-06,8.7765e-05,1.0,11394.0,0.00038359359783653375,0.0,0.0,28786.0,0.00021145956098683156,1.1007e-05,1.0,90853.0,0.00012601160012424512,0.0,0.0,7012.0,1.2417498371358714e-07,0.0,0.0,40313.0,8.288586648850266e-06
1.0,17.0,0.0,109432.0,0.0,1.617082916434712e-06,0.0,0.0,4223.0,9.545513029632002e-07,0.00017553099999999998,2.0,11394.0,0.0003003685587019202,3.4739e-05,1.0,28786.0,0.00014077133659209893,0.0,0.0,90853.0,7.560696007454706e-05,0.0,0.0,7012.0,7.450499022815229e-08,0.0,0.0,40313.0,4.973151989310159e-06
1.0,18.0,0.0,109432.0,0.0,9.70249749860827e-07,0.0,0.0,4223.0,5.727307817779201e-07,8.7765e-05,1.0,11394.0,0.0002153271352211521,0.000138956,4.0,28786.0,0.00014004520195525936,3.302e-05,3.0,90853.0,5.8572176044728235e-05,0.0,0.0,7012.0,4.4702994136891375e-08,0.0,0.0,40313.0,2.9838911935860956e-06
1.0,19.0,0.0,109432.0,0.0,5.821498499164962e-07,0.0,0.0,4223.0,3.4363846906675205e-07,0.0,0.0,11394.0,0.00012919628113269125,0.00027791299999999997,8.0,28786.0,0.00019519232117315563,0.0,0.0,90853.0,3.514330562683694e-05,0.0,0.0,7012.0,2.6821796482134824e-08,0.0,0.0,40313.0,1.7903347161516572e-06
1.0,20.0,0.0,109432.0,0.0,3.492899099498977e-07,0.0,0.0,4223.0,2.0618308144005124e-07,0.0,0.0,11394.0,7.751776867961475e-05,0.0,0.0,28786.0,0.00011711539270389338,2.2014e-05,2.0,90853.0,2.989158337610216e-05,0.0,0.0,7012.0,1.6093077889280895e-08,0.0,0.0,40313.0,1.0742008296909942e-06
1.0,21.0,0.0,109432.0,0.0,2.0957394596993863e-07,0.0,0.0,4223.0,1.2370984886403075e-07,0.0,0.0,11394.0,4.651066120776885e-05,0.00017369599999999998,5.0,28786.0,0.00013974763562233603,1.1007e-05,1.0,90853.0,2.2337750025661298e-05,0.0,0.0,7012.0,9.655846733568536e-09,0.0,0.0,40313.0,6.445204978145965e-07
1.0,22.0,0.0,109432.0,0.0,1.2574436758196317e-07,0.0,0.0,4223.0,7.422590931841845e-08,8.7765e-05,1.0,11394.0,6.30123967246613e-05,0.000138956,4.0,28786.0,0.0001394309813734016,0.0,0.0,90853.0,1.3402650015396778e-05,0.0,0.0,7012.0,5.793508040141121e-09,0.0,0.0,40313.0,3.867122986887579e-07
1.0,23.0,0.0,109432.0,0.0,7.54466205491779e-08,0.0,0.0,4223.0,4.453554559105107e-08,8.7765e-05,1.0,11394.0,7.291343803479677e-05,0.000208435,6.0,28786.0,0.00016703258882404097,0.0,0.0,90853.0,8.041590009238067e-06,0.0,0.0,7012.0,3.4761048240846724e-09,0.0,0.0,40313.0,2.3202737921325472e-07
1.0,24.0,0.0,109432.0,0.0,4.526797232950674e-08,0.0,0.0,4223.0,2.672132735463064e-08,0.000263296,3.0,11394.0,0.00014906646282087806,0.00027791299999999997,8.0,28786.0,0.00021138475329442457,0.0,0.0,90853.0,4.82495400554284e-06,0.0,0.0,7012.0,2.0856628944508035e-09,0.0,0.0,40313.0,1.3921642752795284e-07
1.0,25.0,0.0,109432.0,0.0,2.7160783397704042e-08,0.0,0.0,4223.0,1.6032796412778382e-08,0.0,0.0,11394.0,8.943987769252683e-05,0.000312652,9.0,28786.0,0.0002518916519766547,1.1007e-05,1.0,90853.0,7.297772403325704e-06,0.0,0.0,7012.0,1.2513977366704821e-09,0.0,0.0,40313.0,8.35298565167717e-08
1.0,26.0,0.0,109432.0,0.0,1.6296470038622426e-08,0.0,0.0,4223.0,9.619677847667028e-09,0.0,0.0,11394.0,5.36639266155161e-05,0.00024317400000000003,7.0,28786.0,0.0002484045911859929,0.0,0.0,90853.0,4.378663441995422e-06,0.0,0.0,7012.0,7.508386420022892e-10,0.0,0.0,40313.0,5.011791391006302e-08
1.0,27.0,0.0,109432.0,0.0,9.777882023173455e-09,0.0,0.0,4223.0,5.771806708600217e-09,8.7765e-05,1.0,11394.0,6.730435596930966e-05,0.00010421700000000001,3.0,28786.0,0.00019072955471159572,0.0,0.0,90853.0,2.6271980651972533e-06,0.0,0.0,7012.0,4.505031852013735e-10,4.9612e-05,2.0,40313.0,1.987487074834604e-05
1.0,28.0,0.0,109432.0,0.0,5.866729213904073e-09,0.0,0.0,4223.0,3.46308402516013e-09,0.0,0.0,11394.0,4.0382613581585796e-05,0.00027791299999999997,8.0,28786.0,0.00022560293282695743,0.0,0.0,90853.0,1.576318839118352e-06,0.0,0.0,7012.0,2.703019111208241e-10,0.0,0.0,40313.0,1.1924922449007624e-05
1.0,29.0,0.0,109432.0,0.0,3.520037528342444e-09,0.0,0.0,4223.0,2.077850415096078e-09,0.0,0.0,11394.0,2.4229568148951477e-05,0.000138956,4.0,28786.0,0.00019094415969617446,2.2014e-05,2.0,90853.0,9.751391303471012e-06,0.0,0.0,7012.0,1.6218114667249446e-10,0.0,0.0,40313.0,7.154953469404574e-06
1.0,30.0,0.0,109432.0,0.0,2.1120225170054664e-09,0.0,0.0,4223.0,1.2467102490576467e-09,0.0,0.0,11394.0,1.4537740889370885e-05,0.00024317400000000003,7.0,28786.0,0.0002118360958177047,3.302e-05,3.0,90853.0,1.9058834782082607e-05,0.0,0.0,7012.0,9.730868800349668e-11,0.0,0.0,40313.0,4.292972081642744e-06
1.0,31.0,0.0,109432.0,0.0,1.2672135102032798e-09,0.0,0.0,4223.0,7.48026149434588e-10,0.0,0.0,11394.0,8.722644533622531e-06,0.0,0.0,28786.0,0.0001271016574906228,0.0,0.0,90853.0,1.1435300869249565e-05,0.0,0.0,7012.0,5.838521280209801e-11,0.0,0.0,40313.0,2.5757832489856463e-06
1.0,32.0,9.138e-06,109432.0,1.0,3.655960328106122e-06,0.0,0.0,4223.0,4.488156896607528e-10,0.00035106199999999997,4.0,11394.0,0.00014565838672017352,0.0,0.0,28786.0,7.626099449437368e-05,0.0,0.0,90853.0,6.861180521549738e-06,0.0,0.0,7012.0,3.5031127681258804e-11,0.0,0.0,40313.0,1.5454699493913877e-06
1.0,33.0,0.0,109432.0,0.0,2.193576196863673e-06,0.0,0.0,4223.0,2.692894137964517e-10,0.0,0.0,11394.0,8.739503203210411e-05,0.000138956,4.0,28786.0,0.00010133899669662421,1.1007e-05,1.0,90853.0,8.519508312929843e-06,0.0,0.0,7012.0,2.101867660875528e-11,0.0,0.0,40313.0,9.272819696348326e-07
